source,original_label,canonical_label,breed_id,action,n_images
tsinghua,chinese_rural_dog,__DROP__,,drop,3336
stanford,affenpinscher,affenpinscher,0,mvp,150
tsinghua,affenpinscher,affenpinscher,0,mvp,200
stanford,Afghan_hound,afghan_hound,1,mvp,239
tsinghua,Afghan_hound,afghan_hound,1,mvp,222
stanford,Airedale,airedale,2,mvp,202
tsinghua,Airedale,airedale,2,mvp,200
oxford,american_bulldog,american_bulldog,3,mvp,200
oxford,american_pit_bull_terrier,american_pit_bull_terrier,4,mvp,200
stanford,American_Staffordshire_terrier,american_staffordshire_terrier,5,mvp,164
tsinghua,American_Staffordshire_terrier,american_staffordshire_terrier,5,mvp,216
stanford,Appenzeller,appenzeller,6,mvp,151
tsinghua,Appenzeller,appenzeller,6,mvp,234
tsinghua,Australian_Shepherd,australian_shepherd,7,mvp,245
stanford,Australian_terrier,australian_terrier,8,mvp,196
tsinghua,Australian_terrier,australian_terrier,8,mvp,202
stanford,basenji,basenji,9,mvp,209
tsinghua,basenji,basenji,9,mvp,243
oxford,basset_hound,basset,10,mvp,200
stanford,basset,basset,10,mvp,175
tsinghua,basset,basset,10,mvp,241
oxford,beagle,beagle,11,mvp,200
stanford,beagle,beagle,11,mvp,195
tsinghua,beagle,beagle,11,mvp,276
stanford,Bedlington_terrier,bedlington_terrier,12,mvp,182
tsinghua,Bedlington_terrier,bedlington_terrier,12,mvp,214
stanford,Bernese_mountain_dog,bernese_mountain_dog,13,mvp,218
tsinghua,Bernese_mountain_dog,bernese_mountain_dog,13,mvp,211
tsinghua,Bichon_Frise,bichon_frise,14,mvp,3083
stanford,black-and-tan_coonhound,black_and_tan_coonhound,15,mvp,159
tsinghua,black_and_tan_coonhound,black_and_tan_coonhound,15,mvp,225
tsinghua,Black_sable,black_sable,16,mvp,258
stanford,Blenheim_spaniel,blenheim_spaniel,17,mvp,188
tsinghua,Blenheim_spaniel,blenheim_spaniel,17,mvp,207
stanford,bloodhound,bloodhound,18,mvp,187
tsinghua,bloodhound,bloodhound,18,mvp,207
stanford,bluetick,bluetick,19,mvp,171
tsinghua,bluetick,bluetick,19,mvp,217
stanford,Border_collie,border_collie,20,mvp,150
tsinghua,Border_collie,border_collie,20,mvp,2594
stanford,Border_terrier,border_terrier,21,mvp,172
tsinghua,Border_terrier,border_terrier,21,mvp,206
stanford,borzoi,borzoi,22,mvp,151
tsinghua,borzoi,borzoi,22,mvp,226
stanford,Boston_bull,boston_bull,23,mvp,182
tsinghua,Boston_bull,boston_bull,23,mvp,230
stanford,Bouvier_des_Flandres,bouvier_des_flandres,24,mvp,150
tsinghua,Bouvier_des_Flandres,bouvier_des_flandres,24,mvp,233
oxford,boxer,boxer,25,mvp,200
stanford,boxer,boxer,25,mvp,151
tsinghua,boxer,boxer,25,mvp,225
stanford,Brabancon_griffon,brabancon_griffo,26,mvp,153
tsinghua,Brabancon_griffo,brabancon_griffo,26,mvp,209
stanford,briard,briard,27,mvp,152
tsinghua,briard,briard,27,mvp,230
stanford,Brittany_spaniel,brittany_spaniel,28,mvp,152
tsinghua,Brittany_spaniel,brittany_spaniel,28,mvp,232
stanford,bull_mastiff,bull_mastiff,29,mvp,156
tsinghua,bull_mastiff,bull_mastiff,29,mvp,231
stanford,cairn,cairn,30,mvp,197
tsinghua,cairn,cairn,30,mvp,211
tsinghua,Cane_Carso,cane_carso,31,mvp,253
stanford,Chesapeake_Bay_retriever,chesapeake_bay_retriever,32,mvp,167
tsinghua,Chesapeake_Bay_retriever,chesapeake_bay_retriever,32,mvp,215
oxford,chihuahua,chihuahua,33,mvp,200
stanford,Chihuahua,chihuahua,33,mvp,152
tsinghua,Chihuahua,chihuahua,33,mvp,420
tsinghua,Chinese_Crested_Dog,chinese_crested_dog,34,mvp,234
stanford,chow,chow,35,mvp,196
tsinghua,chow,chow,35,mvp,329
stanford,clumber,clumber,36,mvp,150
tsinghua,clumber,clumber,36,mvp,235
stanford,cocker_spaniel,cocker_spaniel,37,mvp,159
tsinghua,cocker_spaniel,cocker_spaniel,37,mvp,286
stanford,collie,collie,38,mvp,153
tsinghua,collie,collie,38,mvp,227
stanford,Cardigan,corgi,39,mvp,155
stanford,Pembroke,corgi,39,mvp,181
tsinghua,Cardigan,corgi,39,mvp,2909
tsinghua,Pembroke,corgi,39,mvp,205
stanford,curly-coated_retriever,curly_coated_retriever,40,mvp,151
tsinghua,curly_coated_retriever,curly_coated_retriever,40,mvp,202
stanford,Dandie_Dinmont,dandie_dinmont,41,mvp,180
tsinghua,Dandie_Dinmont,dandie_dinmont,41,mvp,211
stanford,Doberman,doberman,42,mvp,150
tsinghua,Doberman,doberman,42,mvp,209
oxford,english_cocker_spaniel,english_cocker_spaniel,43,mvp,200
stanford,English_foxhound,english_foxhound,44,mvp,157
tsinghua,English_foxhound,english_foxhound,44,mvp,223
oxford,english_setter,english_setter,45,mvp,200
stanford,English_setter,english_setter,45,mvp,161
tsinghua,English_setter,english_setter,45,mvp,203
stanford,English_springer,english_springer,46,mvp,159
tsinghua,English_springer,english_springer,46,mvp,276
stanford,EntleBucher,entlebucher,47,mvp,202
tsinghua,EntleBucher,entlebucher,47,mvp,221
stanford,Eskimo_dog,eskimo_dog,48,mvp,150
tsinghua,Eskimo_dog,eskimo_dog,48,mvp,232
tsinghua,Fila Braziliero,fila_braziliero,49,mvp,220
stanford,flat-coated_retriever,flat_coated_retriever,50,mvp,152
tsinghua,flat_coated_retriever,flat_coated_retriever,50,mvp,206
stanford,French_bulldog,french_bulldog,51,mvp,159
tsinghua,French_bulldog,french_bulldog,51,mvp,1121
stanford,German_shepherd,german_shepherd,52,mvp,152
tsinghua,German_shepherd,german_shepherd,52,mvp,211
oxford,german_shorthaired,german_short_haired_pointer,53,mvp,200
stanford,German_short-haired_pointer,german_short_haired_pointer,53,mvp,152
tsinghua,German_short_haired_pointer,german_short_haired_pointer,53,mvp,211
stanford,giant_schnauzer,giant_schnauzer,54,mvp,157
tsinghua,giant_schnauzer,giant_schnauzer,54,mvp,232
stanford,golden_retriever,golden_retriever,55,mvp,150
tsinghua,golden_retriever,golden_retriever,55,mvp,5355
stanford,Gordon_setter,gordon_setter,56,mvp,153
tsinghua,Gordon_setter,gordon_setter,56,mvp,228
stanford,Great_Dane,great_dane,57,mvp,156
tsinghua,Great_Dane,great_dane,57,mvp,206
oxford,great_pyrenees,great_pyrenees,58,mvp,200
stanford,Great_Pyrenees,great_pyrenees,58,mvp,213
tsinghua,Great_Pyrenees,great_pyrenees,58,mvp,225
stanford,Greater_Swiss_Mountain_dog,greater_swiss_mountain_dog,59,mvp,168
tsinghua,Greater_Swiss_Mountain_dog,greater_swiss_mountain_dog,59,mvp,237
stanford,groenendael,groenendael,60,mvp,150
tsinghua,groenendael,groenendael,60,mvp,227
oxford,havanese,havanese,61,mvp,200
stanford,Ibizan_hound,ibizan_hound,62,mvp,188
tsinghua,Ibizan_hound,ibizan_hound,62,mvp,210
stanford,Irish_setter,irish_setter,63,mvp,155
tsinghua,Irish_setter,irish_setter,63,mvp,207
stanford,Irish_terrier,irish_terrier,64,mvp,169
tsinghua,Irish_terrier,irish_terrier,64,mvp,207
stanford,Irish_water_spaniel,irish_water_spaniel,65,mvp,150
tsinghua,Irish_water_spaniel,irish_water_spaniel,65,mvp,219
stanford,Irish_wolfhound,irish_wolfhound,66,mvp,218
tsinghua,Irish_wolfhound,irish_wolfhound,66,mvp,228
stanford,Italian_greyhound,italian_greyhound,67,mvp,182
tsinghua,Italian_greyhound,italian_greyhound,67,mvp,238
oxford,japanese_chin,japanese_spaniel,68,mvp,200
stanford,Japanese_spaniel,japanese_spaniel,68,mvp,185
tsinghua,Japanese_spaniel,japanese_spaniel,68,mvp,249
tsinghua,Japanese_Spitzes,japanese_spitzes,69,mvp,253
oxford,keeshond,keeshond,70,mvp,200
stanford,keeshond,keeshond,70,mvp,158
tsinghua,keeshond,keeshond,70,mvp,223
stanford,kelpie,kelpie,71,mvp,153
tsinghua,kelpie,kelpie,71,mvp,209
stanford,Kerry_blue_terrier,kerry_blue_terrier,72,mvp,179
tsinghua,Kerry_blue_terrier,kerry_blue_terrier,72,mvp,229
stanford,komondor,komondor,73,mvp,154
tsinghua,komondor,komondor,73,mvp,318
stanford,kuvasz,kuvasz,74,mvp,150
tsinghua,kuvasz,kuvasz,74,mvp,223
stanford,Labrador_retriever,labrador_retriever,75,mvp,171
tsinghua,Labrador_retriever,labrador_retriever,75,mvp,3580
stanford,Lakeland_terrier,lakeland_terrier,76,mvp,197
tsinghua,Lakeland_terrier,lakeland_terrier,76,mvp,216
oxford,leonberger,leonberg,77,mvp,200
stanford,Leonberg,leonberg,77,mvp,210
tsinghua,Leonberg,leonberg,77,mvp,214
stanford,Lhasa,lhasa,78,mvp,186
tsinghua,Lhasa,lhasa,78,mvp,215
stanford,malamute,malamute,79,mvp,178
tsinghua,malamute,malamute,79,mvp,1324
stanford,malinois,malinois,80,mvp,150
tsinghua,malinois,malinois,80,mvp,233
stanford,Maltese_dog,maltese_dog,81,mvp,252
tsinghua,Maltese_dog,maltese_dog,81,mvp,249
stanford,Mexican_hairless,mexican_hairless,82,mvp,155
tsinghua,Mexican_hairless,mexican_hairless,82,mvp,220
oxford,miniature_pinscher,miniature_pinscher,83,mvp,200
stanford,miniature_pinscher,miniature_pinscher,83,mvp,184
tsinghua,miniature_pinscher,miniature_pinscher,83,mvp,561
stanford,miniature_schnauzer,miniature_schnauzer,84,mvp,154
tsinghua,miniature_schnauzer,miniature_schnauzer,84,mvp,2342
oxford,newfoundland,newfoundland,85,mvp,200
stanford,Newfoundland,newfoundland,85,mvp,195
tsinghua,Newfoundland,newfoundland,85,mvp,215
stanford,Norfolk_terrier,norfolk_terrier,86,mvp,172
tsinghua,Norfolk_terrier,norfolk_terrier,86,mvp,203
stanford,Norwegian_elkhound,norwegian_elkhound,87,mvp,196
tsinghua,Norwegian_elkhound,norwegian_elkhound,87,mvp,217
stanford,Norwich_terrier,norwich_terrier,88,mvp,185
tsinghua,Norwich_terrier,norwich_terrier,88,mvp,203
stanford,Old_English_sheepdog,old_english_sheepdog,89,mvp,169
tsinghua,Old_English_sheepdog,old_english_sheepdog,89,mvp,257
stanford,otterhound,otterhound,90,mvp,151
tsinghua,otterhound,otterhound,90,mvp,217
stanford,papillon,papillon,91,mvp,196
tsinghua,papillon,papillon,91,mvp,806
stanford,Pekinese,pekinese,92,mvp,149
tsinghua,Pekinese,pekinese,92,mvp,480
oxford,pomeranian,pomeranian,93,mvp,200
stanford,Pomeranian,pomeranian,93,mvp,219
tsinghua,Pomeranian,pomeranian,93,mvp,1936
stanford,miniature_poodle,poodle,94,mvp,155
stanford,standard_poodle,poodle,94,mvp,159
stanford,toy_poodle,poodle,94,mvp,151
tsinghua,miniature_poodle,poodle,94,mvp,200
tsinghua,standard_poodle,poodle,94,mvp,316
tsinghua,teddy,poodle,94,mvp,7449
tsinghua,toy_poodle,poodle,94,mvp,2925
oxford,pug,pug,95,mvp,200
stanford,pug,pug,95,mvp,200
tsinghua,pug,pug,95,mvp,798
stanford,redbone,redbone,96,mvp,148
tsinghua,redbone,redbone,96,mvp,207
stanford,Rhodesian_ridgeback,rhodesian_ridgeback,97,mvp,172
tsinghua,Rhodesian_ridgeback,rhodesian_ridgeback,97,mvp,230
stanford,Rottweiler,rottweiler,98,mvp,152
tsinghua,Rottweiler,rottweiler,98,mvp,224
oxford,saint_bernard,saint_bernard,99,mvp,200
stanford,Saint_Bernard,saint_bernard,99,mvp,170
tsinghua,Saint_Bernard,saint_bernard,99,mvp,211
stanford,Saluki,saluki,100,mvp,200
