source,original_breed,n_images
coco,Dog(single-class),177
muttmix_ancestry,Chow Chow,14
muttmix_ancestry,American Pit Bull Terrier,11
muttmix_ancestry,Labrador Retriever,10
muttmix_ancestry,German Shepherd Dog,8
muttmix_ancestry,Golden Retriever,8
muttmix_ancestry,Beagle,7
muttmix_ancestry,Australian Cattle Dog,5
muttmix_ancestry,Belgian Malinois,5
muttmix_ancestry,Boxer,5
muttmix_ancestry,Rottweiler,5
muttmix_ancestry,American Cocker Spaniel,3
muttmix_ancestry,Border Collie,3
muttmix_ancestry,Siberian Husky,3
muttmix_ancestry,Australian Shepherd,2
muttmix_ancestry,Collie,2
muttmix_ancestry,Jack Russell Terrier,2
muttmix_ancestry,Shar Pei,2
muttmix_ancestry,Shih Tzu,2
muttmix_ancestry,Tibetan Mastiff,2
muttmix_ancestry,Toy Poodle,2
muttmix_ancestry,Basset Hound,1
muttmix_ancestry,Bloodhound,1
muttmix_ancestry,Boston Terrier,1
muttmix_ancestry,Chihuahua,1
muttmix_ancestry,Dachshund,1
muttmix_ancestry,Great Pyrenees,1
muttmix_ancestry,Maltese,1
muttmix_ancestry,Pekingese,1
muttmix_ancestry,Pomeranian,1
muttmix_ancestry,Poodle,1
muttmix_ancestry,Staffordshire Bull Terrier,1
muttmix_ancestry,Yorkshire Terrier,1
open_images,Dog(single-class),21586
oxford,CAT_Abyssinian,200
oxford,CAT_Bengal,200
oxford,CAT_Birman,200
oxford,CAT_Bombay,200
oxford,CAT_British_Shorthair,200
oxford,CAT_Egyptian_Mau,200
oxford,CAT_Maine_Coon,200
oxford,CAT_Persian,200
oxford,CAT_Ragdoll,200
oxford,CAT_Russian_Blue,200
oxford,CAT_Siamese,200
oxford,CAT_Sphynx,200
oxford,american_bulldog,200
oxford,american_pit_bull_terrier,200
oxford,basset_hound,200
oxford,beagle,200
oxford,boxer,200
oxford,chihuahua,200
oxford,english_cocker_spaniel,200
oxford,english_setter,200
oxford,german_shorthaired,200
oxford,great_pyrenees,200
oxford,havanese,200
oxford,japanese_chin,200
oxford,keeshond,200
oxford,leonberger,200
oxford,miniature_pinscher,200
oxford,newfoundland,200
oxford,pomeranian,200
oxford,pug,200
oxford,saint_bernard,200
oxford,samoyed,200
oxford,shiba_inu,200
oxford,wheaten_terrier,200
oxford,yorkshire_terrier,200
oxford,scottish_terrier,199
oxford,staffordshire_bull_terrier,191
stanford,Maltese_dog,252
stanford,Afghan_hound,239
stanford,Scottish_deerhound,232
stanford,Pomeranian,219
stanford,Bernese_mountain_dog,218
stanford,Irish_wolfhound,218
stanford,Samoyed,218
stanford,Shih-Tzu,214
stanford,Great_Pyrenees,213
stanford,Leonberg,210
stanford,basenji,209
stanford,Tibetan_terrier,206
stanford,Airedale,202
stanford,EntleBucher,202
stanford,Sealyham_terrier,202
stanford,Saluki,200
stanford,pug,200
stanford,Lakeland_terrier,197
stanford,cairn,197
stanford,Australian_terrier,196
stanford,Norwegian_elkhound,196
stanford,chow,196
stanford,papillon,196
stanford,Newfoundland,195
stanford,beagle,195
