canonical,total,sources,ts,st,ox
teddy,7449,1,7449,0,0
golden_retriever,5502,2,5352,150,0
poodle,3906,2,3441,465,0
labrador_retriever,3750,2,3579,171,0
chinese_rural_dog,3336,1,3336,0,0
bichon_frise,3081,1,3081,0,0
cardigan,3063,2,2908,155,0
border_collie,2744,2,2594,150,0
samoyed,2610,3,2192,218,200
miniature_schnauzer,2495,2,2341,154,0
pomeranian,2354,3,1935,219,200
malamute,1502,2,1324,178,0
siberian_husky,1352,2,1160,192,0
french_bulldog,1280,2,1121,159,0
shiba_inu,1243,2,1043,0,200
pug,1198,3,798,200,200
papillon,1002,2,806,196,0
miniature_pinscher,945,3,561,184,200
chihuahua,772,3,420,152,200
yorkshire_terrier,704,3,340,164,200
beagle,671,3,276,195,200
great_pyrenees,638,3,225,213,200
japanese_spaniel,634,3,249,185,200
pekinese,629,2,480,149,0
leonberg,624,3,214,210,200
basset,616,3,241,175,200
newfoundland,610,3,215,195,200
soft_coated_wheaten_terrier,590,3,235,155,200
keeshond,581,3,223,158,200
saint_bernard,581,3,211,170,200
boxer,576,3,225,151,200
shih_tzu,574,2,360,214,0
english_setter,564,3,203,161,200
german_shorthaired_pointer,563,3,211,152,200
scotch_terrier,563,3,206,158,199
staffordshire_bullterrier,549,3,203,155,191
chow,525,2,329,196,0
maltese_dog,501,2,249,252,0
komondor,472,2,318,154,0
afghan_hound,460,2,221,239,0
scottish_deerhound,456,2,224,232,0
basenji,452,2,243,209,0
cocker_spaniel,445,2,286,159,0
irish_wolfhound,442,2,224,218,0
english_springer,435,2,276,159,0
shetland_sheepdog,431,2,274,157,0
bernese_mountain_dog,429,2,211,218,0
old_english_sheepdog,426,2,257,169,0
entlebucher,423,2,221,202,0
whippet,421,2,234,187,0
italian_greyhound,420,2,238,182,0
silky_terrier,414,2,231,183,0
lakeland_terrier,413,2,216,197,0
sealyham_terrier,413,2,211,202,0
norwegian_elkhound,413,2,217,196,0
boston_bull,412,2,230,182,0
tibetan_terrier,409,2,203,206,0
toy_terrier,409,2,237,172,0
kerry_blue_terrier,408,2,229,179,0
cairn,408,2,211,197,0
saluki,406,2,206,200,0
greater_swiss_mountain_dog,405,2,237,168,0
airedale,402,2,200,202,0
rhodesian_ridgeback,402,2,230,172,0
lhasa,401,2,215,186,0
ibizan_hound,398,2,210,188,0
australian_terrier,398,2,202,196,0
bedlington_terrier,396,2,214,182,0
blenheim_spaniel,395,2,207,188,0
weimaraner,395,2,235,160,0
bloodhound,394,2,207,187,0
dandie_dinmont,391,2,211,180,0
giant_schnauzer,389,2,232,157,0
bluetick,388,2,217,171,0
norwich_terrier,388,2,203,185,0
bull_mastiff,387,2,231,156,0
pembroke,386,2,205,181,0
appenzeller,385,2,234,151,0
clumber,385,2,235,150,0
brittany_spaniel,384,2,232,152,0
black_and_tan_coonhound,384,2,225,159,0
wire_haired_fox_terrier,383,2,226,157,0
bouvier_des_flandres,383,2,233,150,0
malinois,383,2,233,150,0
eskimo_dog,382,2,232,150,0
chesapeake_bay_retriever,382,2,215,167,0
briard,382,2,230,152,0
gordon_setter,381,2,228,153,0
english_foxhound,380,2,223,157,0
african_hunting_dog,380,2,211,169,0
american_staffordshire_terrier,380,2,216,164,0
collie,379,2,227,152,0
west_highland_white_terrier,378,2,209,169,0
border_terrier,378,2,206,172,0
groenendael,377,2,227,150,0
borzoi,377,2,226,151,0
rottweiler,376,2,224,152,0
irish_terrier,376,2,207,169,0
mexican_hairless,375,2,220,155,0
standard_schnauzer,375,2,220,155,0
norfolk_terrier,375,2,203,172,0
kuvasz,373,2,223,150,0
dingo,373,2,217,156,0
irish_water_spaniel,369,2,219,150,0
walker_hound,369,2,216,153,0
sussex_spaniel,368,2,217,151,0
otterhound,368,2,217,151,0
vizsla,364,2,210,154,0
german_shepherd,363,2,211,152,0
brabancon_griffon,362,2,209,153,0
kelpie,362,2,209,153,0
irish_setter,362,2,207,155,0
great_dane,362,2,206,156,0
dhole,359,2,209,150,0
doberman,359,2,209,150,0
flat_coated_retriever,358,2,206,152,0
tibetan_mastiff,357,2,205,152,0
redbone,355,2,207,148,0
schipperke,355,2,201,154,0
curly_coated_retriever,353,2,202,151,0
welsh_springer_spaniel,352,2,202,150,0
affenpinscher,350,2,200,150,0
black_sable,258,1,258,0,0
cane_carso,253,1,253,0,0
japanese_spitzes,253,1,253,0,0
australian_shepherd,245,1,245,0,0
chinese_crested_dog,234,1,234,0,0
fila_braziliero,220,1,220,0,0
havanese,200,1,0,0,200
english_cocker_spaniel,200,1,0,0,200
american_bulldog,200,1,0,0,200
american_pit_bull_terrier,200,1,0,0,200
